position,00 dias,10 dias,20 dias,30 dias,40 dias,50 dias,60 dias,70 dias,80 dias,90 dias,100 dias,110 dias,120 dias
540.0,86.0,91.80171255495176,92.99158514341637,93.69504601487925,94.51264908086836,110.54015328253071,144.2196794082113,181.13659678911642,221.0526447744766,264.0778449896979,310.32021788497366,359.9183778636054,412.97549569612806
550.0,86.0,91.10299267650852,92.29307247474867,92.99720368679694,93.8149829528358,109.84019633538026,143.5207568769903,180.4344066786173,220.34661926199263,263.36773828954864,309.6056325212433,359.19892148213654,412.2508756707339
560.0,86.0,90.53456821256047,91.72440210247031,92.42866951619501,93.2462030496218,109.2696405419339,142.9523125866385,179.8634256964352,219.77271209052446,262.7908447761235,309.02562980490393,358.6156507758538,411.66420645034594
570.0,86.0,90.05514246824049,91.24457957884209,91.94876128571585,92.76584078214256,108.7880018548867,142.47355880485938,179.382446631831,219.2891553022293,262.30468610347526,308.53677965195146,358.1240132837942,411.16970100072064
580.0,86.0,89.64050772157566,90.82948864683043,91.53349831995006,92.3500571943713,108.37152123760481,142.06070269121358,178.96764123868485,218.87205357664342,261.8852671190799,308.1149630669337,357.69972377105523,410.7428704365962
590.0,86.0,89.27520925031556,90.46370052283268,91.16750010204541,91.98352562194856,108.00489515217446,141.69839728145936,178.6036345155442,218.50599950199324,261.51714466091687,307.7446973996556,357.32725087238754,410.3681275611673
600.0,86.0,88.94876103090492,90.13673570740042,90.8403062507993,91.65580715182787,107.67768643654144,141.3761558951051,178.27990496508352,218.18043561074165,261.1897255546247,307.41535322412494,356.99592631592697,410.0347641144993
610.0,86.0,88.65371334203012,89.84114502064662,90.54447683657844,91.35947250805512,107.38246445469039,141.08650122177949,177.98894329652666,217.8878198038966,260.89543512656684,307.11932279466754,356.69810775923156,409.7351026013645
620.0,86.0,88.38458139534808,89.57144336158198,90.27453222046842,91.08904887333053,107.11375999762839,140.823917887654,177.72520758005496,217.6225829808517,260.62867718087887,306.85098226741184,356.4281425457945,409.46346108272013
630.0,86.0,88.1372029377163,89.32347276144365,90.02631847211566,90.8403879392824,106.86743131660957,140.5842271664517,177.4844972721297,217.38050242783945,260.38520687332567,306.6060641908077,356.18173971474926,409.2155246993509
640.0,86.0,87.908329565884,89.09400574173418,89.79661153438869,90.61027097277749,106.64026242459127,140.36418300928395,177.26354887826136,217.1582970197379,260.1617254398495,306.3812517396745,355.9555636395865,408.98793867701914
650.0,86.0,87.69771678289707,88.88048638699853,89.5828586864312,90.39615070276942,106.42971159488474,140.16121560114414,177.05977828940908,216.9533683463515,259.9556201619346,306.1739175445847,355.7469717027114,408.77804486606476
660.0,86.0,87.50565492842816,88.6808576680525,89.38300593546107,90.19597882166656,106.23373833691323,139.9732576861156,176.87110636476706,216.7636255230701,259.7647884093319,305.9819469542887,355.5538367446629,408.5837033694438
670.0,86.0,87.33240750859896,88.49343843456575,89.19537512350381,90.00808326181989,106.05068046232196,139.79862124429485,176.6958351605853,216.587360937707,259.58751289888215,305.80361278751593,355.3744212784714,408.4031662048876
680.0,86.0,87.1781997462963,88.31683761926388,89.0185779896996,89.83108223995293,105.87916784249313,139.63591076914201,176.53256075346798,216.42316260637602,259.4223735870403,305.63748675536385,355.2072884270269,408.23498775182065
690.0,86.0,87.04097005850598,88.1498913561558,88.85145308632421,89.66382120088257,105.7180591939231,139.4839597453544,176.38010942229934,216.26985004303336,259.2681832246527,305.4823746913077,355.0512368135898,408.07795929453687
