position,0 años,1 años,2 años,3 años,4 años,5 años,6 años,7 años,8 años,9 años,10 años,11 años,12 años,13 años,14 años,15 años,16 años,17 años,18 años,19 años,20 años,21 años,22 años,23 años,24 años,25 años,26 años,27 años,28 años,29 años,30 años
380.0,86.0,95.23508627989811,95.29134965218368,95.34902985130356,95.4129520850005,95.4873627583371,95.57539559844811,95.67958874940383,95.80228865246873,95.94495455763008,96.10835466053192,96.29185900820409,97.24883365051392,103.70971224492521,115.4173979443587,127.57675047729568,140.12575717287146,153.0297112786886,166.3312993213464,180.00697580487108,194.06189122585494,208.50832047162055,223.36077999493853,238.61152229091994,254.268027516652,270.3368408665145,286.82424507535336,303.73533149727444,321.077017259123,338.86561813800546,357.0917229406345
390.0,86.0,95.61042100694395,95.66159771894033,95.71720635808408,95.7841309508427,95.86775661758752,95.97191434185588,96.09948643837576,96.25255035192212,96.43114951260605,96.63410620254582,96.85825064397498,97.84572655537916,104.34083565684821,116.08733761481741,128.27397825673788,140.84562314431628,153.76796485237392,167.08384672448975,180.77060121510976,194.83423756770588,209.28757000215438,224.14562774359658,239.4010416395702,255.06145891344164,271.133562344328,287.62378046858277,304.5373211317014,321.8811789022043,339.6717944096607,357.89983816403884
400.0,86.0,96.00940648781021,96.05572442558031,96.11262690930214,96.18935420927856,96.29255635093536,96.4265723333751,96.59357773316441,96.79327686915919,97.02188004593428,97.27382198754702,97.54291334070301,98.56059644427236,105.08608443237279,116.86609735799895,129.07362975666496,141.66036039309986,154.59415295349942,167.91881994220392,181.6126257042273,195.68189234503075,210.13971332703684,225.00139467379438,240.25979665313665,255.92275856476766,271.99706841401525,288.4892492587224,305.4045761643219,322.75008093184084,340.542251399067,358.77185947737553
410.0,86.0,96.43731697677065,96.48085179932562,96.54645581027258,96.64605566908308,96.78732893841787,96.97325225208039,97.20110154458291,97.46387334631264,97.75152161400466,98.05403595108478,98.3634736221676,99.40417538220234,105.95115354851166,117.7548481846766,129.9752628562904,142.57145904635897,155.5124297538117,168.8425179510051,182.5405078683915,196.6131257718785,211.07369689174277,225.93768483369615,241.1980777526216,256.86282107564375,272.93875839813046,289.43246608261273,306.349254328126,323.6961667650783,341.4897128789527,359.72072490665147
420.0,86.0,96.90175021434406,96.94878955649335,97.03874395636032,97.18610281829879,97.39608252607047,97.66296658231768,97.97149493485743,98.30435827186813,98.64709617350178,98.99077888055598,99.32816514342102,100.37927194510529,106.9387642853703,118.75940324130438,130.98754825131533,143.58899711525427,156.53393901592233,169.86711234566604,183.56757688032488,197.64228121452396,212.10467943794546,226.9703035396689,242.23221121708843,257.89839662979335,273.9757239956991,290.4707960671229,307.3889401674364,324.7371983610388,342.5320896410182,360.7644647699448
430.0,86.0,97.41464548300169,97.48122707305856,97.62837415327714,97.86774461810857,98.18759668140022,98.55844033277448,98.94985081704617,99.34226261964557,99.72328501370984,100.09073074327188,100.44408737707872,101.49771273394815,108.06310819700897,119.89546122360899,132.1278491582117,144.7321390351608,157.67935467054537,171.01443819655262,184.7165764703486,198.79281823571776,213.2566725679894,228.12368549263616,243.38695459176765,259.0544936350514,275.13317086760065,291.62960157221414,308.54912199781063,325.89876669047004,343.69505871976514,361.9288637621895
440.0,86.0,97.99712605277055,98.12220352840338,98.3918813346724,98.78564143057812,99.2441406914793,99.71390445376684,100.16602711117731,100.59268986902937,100.99451749491617,101.37418916832249,101.73472733012737,102.78535953652698,109.35281199646577,121.19401309250259,133.4289715635369,146.03505103139105,158.9838629619777,172.3204266878907,186.02397932523021,200.1016110244015,214.56685175588223,229.4352353143285,244.69988752231305,260.3688288712381,276.44892587879565,292.9468001630323,309.86779383597354,327.2189319021834,345.01673964707993,363.25209665156297
450.0,86.0,98.69178039852433,98.9688659136702,99.46640459530491,100.05584915361804,100.63411469763561,101.16468246759831,101.64825962644404,102.09127098847584,102.501555674107,102.88586409277006,103.24901610428802,104.29431650823247,110.86217936203963,122.71093700432893,134.94789020997632,147.55545894797484,160.5057186541275,173.8437109265017,187.5486913857517,201.62776913578023,216.09448258694627,230.96434404700057,246.23050364423767,261.90098310909156,277.98264628990574,294.48211840793954,311.4047468069637,328.7575471947085,346.55704559342877,364.7941353221672
460.0,86.0,99.60236677019445,100.22762564042814,101.03387945461904,101.77762409387319,102.41904994343024,102.97685947699773,103.47201501370046,103.92046685400845,104.33344281852983,104.71923543127596,105.08327050120755,106.1226940420864,112.69046682948117,124.54626902959374,136.78515826244538,149.3942705791506,162.3460841356337,175.68564529025844,189.3922191357173,203.47292511732672,217.9413071095622,232.81285308478238,248.08073702212897,263.75297958050623,279.8364424310578,296.33775322063104,313.26226453577976,330.6169832700569,348.41843548401766,366.65752818033866
470.0,86.0,101.02143223655337,102.23668058337917,103.27626654273902,104.0895707198065,104.75301421505195,105.31865571549578,105.81693196826195,106.26687573084284,106.68066267397072,107.06698375801689,107.4314057204564,108.46510312898447,115.03276283143987,126.8954736703984,139.1365089958771,151.7474303771713,164.7010841028984,178.0425161697852,191.75100107279317,205.83366498522898,220.30405597476837,235.17763804638253,250.4476090080616,266.1219876115094,282.2076343199894,298.7111785213019,315.6379782082345,332.99503215088214,350.7988653618222,369.04039869028895
480.0,86.0,103.69967544359226,105.4328804036885,106.55893513991133,107.38972188530306,108.05801702106113,108.62540623582709,109.12447275991424,109.57490926468724,109.98905788097792,110.3756903184371,110.74039539958204,111.76872396441992,118.33650846862692,130.20632797980258,142.45002221811404,155.06330610798327,168.01937409657236,181.3632695041983,195.07427560718338,209.1595258931877,223.63257319199383,238.50885717450296,253.7815993277066,269.45881652664605,285.54736941184575,302.05388847956164,318.9837373312283,336.34390757275037,354.15092492819656,372.3957229667174
490.0,86.0,109.04298322011125,110.93804628021675,112.07853038522518,112.9119508414293,113.58113655261289,114.14902895813401,114.64845437561476,115.09922045755138,115.51367764562066,115.90061252749526,116.26561458726509,117.2890180030402,123.85758243748353,135.73544818897798,147.98304072132944,160.59998824642398,173.55980684953275,186.90754256850389,200.62248735808117,214.71178088702743,229.18898051529624,244.06950547769375,259.3466006470659,275.0282814571425,291.1214098687643,307.6326181864196,324.56727664905253,341.9323704860464,359.7444267357989,377.99439169206335
500.0,86.0,121.09626874462244,122.99700649484244,124.13810315097376,124.97201053164878,125.64167017227422,126.21004001621758,126.70991248900438,127.16111635995365,127.5759988204955,127.96334956603934,128.32876040418944,129.34786720736267,135.91920486258437,147.80848194262006,160.06369302608573,172.688154515163,185.65568006525083,199.01133474842126,212.7344086294979,226.83205199775762,241.31783219461312,256.2071531403604,271.49328064228513,287.1842314584308,303.2868719677749,319.8078383919081,336.7525100346413,354.1278696071811,371.9504520838162,390.211212658546
510.0,86.0,109.29291049678831,111.18492875481475,112.32467356252015,113.15805098963952,113.82742542693055,114.39563056223317,114.89539765643113,115.34653737755627,115.76138915792386,116.14872702081288,116.51414438471221,117.52813510871876,124.09494449546054,135.98215839175384,148.23134273538975,160.84927487580995,173.81007829991185,187.15878207030627,200.87470237810405,214.96498639712925,229.44319629036232,244.32470152131307,259.6027938508277,275.28548179629723,291.37962690621396,307.8918589824982,324.8275567257566,342.19369149199616,360.00678310152136,378.25780426941157
520.0,86.0,104.20726053478725,105.92857930019603,107.05154510083125,107.88164778734915,108.55011491653121,109.11803796584573,109.61772598524855,110.06887761576158,110.48379487011448,110.87121672998086,111.23674213757522,112.24622066254173,118.81050776380422,130.69901876022752,142.9458895280804,155.5611363896356,168.51916774544264,181.86499397950374,195.57794624741652,209.66517268141024,224.1402353199338,239.01847531011276,254.29320732516874,269.9724345723019,286.06301639959975,302.57157866276987,319.50350180077004,336.8657500019364,354.674833924669,372.9217400941577
530.0,86.0,101.79010704306239,102.99303710008638,104.02067769279876,104.82955478310714,105.49191420908541,106.0577946888496,106.55668321935902,107.00754365685474,107.42239315980176,107.80983581598461,108.17545245017526,109.18075947179095,115.74318436270244,127.6339703082997,139.87975987149693,152.49361399082747,165.45020271762976,178.79452192843158,192.5059190922834,206.5915403891549,221.06494807820818,235.94145818114794,251.21440814182435,266.8917967633221,282.98048180853846,299.4870860749794,316.41699260287885,333.77715868745776,351.584087507693,369.82877876081994
540.0,86.0,100.59878067589865,101.26109138063347,102.04667271200906,102.77582383278171,103.40999553930659,103.9654651847089,104.45988592360862,104.9087940547127,105.32274399989436,105.7097582932809,106.07522935304105,107.0765064783797,113.63727285930003,125.53058450475613,137.77578379216015,150.38877724499602,163.344480049891,176.68787261674376,190.39831599235967,204.48295220895318,218.95534520340888,233.83078562488183,249.10263269470926,264.7788814968192,280.866387861138,297.37177207927755,314.3004195969643,331.65928204918026,349.4648569717912,367.7081549656897
550.0,86.0,99.88212113969625,100.25849211368181,100.76482437160762,101.33245613063565,101.89231186034309,102.41299015470454,102.89048465933723,103.33127220140555,103.74098198621617,104.12572030779022,104.49000505742323,105.48687302873788,112.04574801366985,123.94141506742734,136.18613920287197,148.79846033099966,161.7535082413971,175.09623617972332,188.8060142878112,202.88997291178578,217.36167350058625,232.23638150134636,247.50747650252887,263.1829495639342,279.269653132263,295.774205326913,312.7019934781263,330.05996394787593,347.8646082093858,366.1069469696535
560.0,86.0,99.36800492857351,99.62736767595861,99.95719764425301,100.35427757121458,100.79252364181843,101.24029891351164,101.67789128023689,102.09569225143906,102.49187743868588,102.86887701689069,103.22862226920432,104.21918678385684,110.77491764044525,122.67204360369699,134.9158782236982,147.52731387612155,160.48162016391436,173.82368417172546,187.53286205031176,201.61624814680638,216.08739172946238,230.96152733196197,246.23205026102357,261.9069446077722,277.993055311389,294.49699760920487,311.42415921666066,328.78148108516467,346.5854477667848,364.8270883567978
570.0,86.0,98.96326764753564,99.17519941143651,99.4199103360561,99.70517348365978,100.02997126954835,100.38411454298351,100.75384483270061,101.12647139036264,101.4943120055044,101.85317483791728,102.20069912592363,103.17996859558203,109.72912397188597,121.62521343816475,133.8665886105533,146.47608519971175,159.4289478243727,172.76988469698523,186.47816723221555,200.56079870121,215.03128470055265,229.90481022518614,245.17477183939644,260.8491359527089,276.93472900140233,293.43815896683213,310.3648095981738,327.7216144459975,345.525048169593,363.7661416224416
580.0,86.0,98.6291568258082,98.82033351728582,99.02604880940818,99.25289733184218,99.50446161706054,99.78088868536011,100.07880855849407,100.39206306524854,100.71436700390186,101.03964888986994,101.36380682244881,102.32416252419128,108.86045306225742,120.75036692772045,132.985671939066,145.59063641499387,158.54018096313433,171.87860868548466,185.58498141091837,199.6661110074662,214.13539084771048,229.00791259505192,244.27703808236075,259.9506865804175,276.0356401114191,292.53848653027757,309.46459522168766,326.8208855068826,344.6238137195938,362.86436004355704
